Student_ID ##1,Student_ID ##2,Student_ID ##3,Student_ID ##4,First Choice (Topic),Second Choice (Topic),Third Choice (Topic),Fourth Choice (Topic),First Choice (Subteam),Second Choice (Subteam),Third Choice (Subteam),Fourth Choice (Subteam),
e056563,,,,FIFA video highlights,Storm cell tracking,,,Modeling team,Front-end team,,,
e0424903,e0425282,e0424730,,Customer analytics,Storm cell tracking,Airline delay,Heavy traffic,Front-end team,Front-end team,Front-end team,Front-end team,
e0407795,,,,Heavy traffic,Airline delay,Storm cell tracking,FIFA video highlights,Modeling team,Modeling team,Modeling team,Modeling team,
e0415653,,,,FIFA video highlights,Heavy traffic,Airline delay,Customer analytics,No preference,No preference,No preference,No preference,
e0425327,e0425467,,,Customer analytics,Customer analytics,Heavy traffic,Storm cell tracking,Front-end team,Modeling team,Front-end team,Front-end team,
e0406480,,,,Customer analytics,Storm cell tracking,Heavy traffic,Airline delay,Modeling team,Modeling team,Front-end team,Modeling team,
e0415428,,,,Customer analytics,Heavy traffic,Storm cell tracking,Airline delay,No preference,No preference,No preference,No preference,
e0424835,e0426108,e0426159,e0425939,FIFA video highlights,Heavy traffic,Storm cell tracking,Customer analytics,Front-end team,Front-end team,Front-end team,Front-end team,
e0425536,e0425810,,,Customer analytics,Airline delay,Heavy traffic,Storm cell tracking,Modeling team,Modeling team,Modeling team,Modeling team,
e0425536,e0425810,,,Customer analytics,Airline delay,Heavy traffic,Storm cell tracking,Modeling team,Modeling team,Modeling team,Modeling team,
e0424957,,,,Airline delay,Customer analytics,Airline delay,Storm cell tracking,Modeling team,Modeling team,Front-end team,Modeling team,
e0407559,e0426140,e0425690,,Customer analytics,Airline delay,Heavy traffic,Storm cell tracking,Modeling team,Modeling team,Modeling team,Modeling team,
e0426140,e0425690,e0406559,,Customer analytics,Airline delay,Heavy traffic,Storm cell tracking,Modeling team,Modeling team,Modeling team,Modeling team,
e0415752,,,,Airline delay,Customer analytics,,,No preference,No preference,,,
e0425478,e0425189,e0407848,e0407680,FIFA video highlights,Airline delay,Heavy traffic,Airline delay,Modeling team,Modeling team,Modeling team,Front-end team,
e0425769,e0424745,,,Airline delay,Customer analytics,Airline delay,Customer analytics,Front-end team,Modeling team,Modeling team,Front-end team,
e0398576,e0439295,e0426097,,Airline delay,Customer analytics,Airline delay,Customer analytics,Front-end team,Front-end team,Modeling team,Modeling team,
e0376989,e0376959,e0376935,,Customer analytics,Airline delay,,,Modeling team,Modeling team,,,
e0406320,,,,Customer analytics,,,,,,,,
e0406320,,,,Customer analytics,Airline delay,Storm cell tracking,Heavy traffic,No preference,No preference,No preference,No preference,
e0425637,,,,FIFA video highlights,Heavy traffic,Storm cell tracking,Customer analytics,No preference,No preference,No preference,No preference,
E0425355,E0407700,E0425599,E0425873,FIFA video highlights,Storm cell tracking,Heavy traffic,Airline delay,No preference,No preference,No preference,No preference,
e0425944,,,,Storm cell tracking,Storm cell tracking,Customer analytics,Airline delay,Modeling team,Front-end team,No preference,No preference,
e0376940,e0424598,e0425201,e0411110,Customer analytics,Heavy traffic,Airline delay,Storm cell tracking,Modeling team,Modeling team,Modeling team,Modeling team,
e0376935,e0376959,e0376989,e0376929,Customer analytics,Customer analytics,Airline delay,Airline delay,Modeling team,Front-end team,Modeling team,Front-end team,
